timestamp,strategy,coin,signal,rsi,ema_fast,ema_slow,atr,price,volume,trigger_met,blocked_reason
2025-11-27T00:24:32.520728+00:00,conservative,ETH-USD,HOLD,50,3016.14,3016.14,0,3016.14,0,False,demo_mode
2025-11-27T00:24:33.524307+00:00,aggressive,SOL-USD,HOLD,50,142.83,142.83,0,142.83,0,False,demo_mode
2025-11-27T00:24:34.555107+00:00,aggressive,AVAX-USD,HOLD,50,14.98,14.98,0,14.98,0,False,demo_mode
2025-11-27T00:24:35.671687+00:00,aggressive,DOGE-USD,HOLD,50,0.1542,0.1542,0,0.1542,0,False,demo_mode
2025-11-27T00:29:36.567796+00:00,conservative,BTC-USD,HOLD,50,90236.34,90236.34,0,90236.34,0,False,demo_mode
2025-11-27T00:29:37.506434+00:00,conservative,ETH-USD,HOLD,50,3016.31,3016.31,0,3016.31,0,False,demo_mode
2025-11-27T00:29:38.512536+00:00,aggressive,SOL-USD,HOLD,50,142.66,142.66,0,142.66,0,False,demo_mode
2025-11-27T00:29:39.544159+00:00,aggressive,AVAX-USD,HOLD,50,14.99,14.99,0,14.99,0,False,demo_mode
2025-11-27T00:29:40.746216+00:00,aggressive,DOGE-USD,HOLD,50,0.1543,0.1543,0,0.1543,0,False,demo_mode
2025-11-27T00:34:41.529834+00:00,conservative,BTC-USD,HOLD,50,90256.18,90256.18,0,90256.18,0,False,demo_mode
2025-11-27T00:34:43.034174+00:00,conservative,ETH-USD,HOLD,50,3018.44,3018.44,0,3018.44,0,False,demo_mode
2025-11-27T00:34:43.747138+00:00,aggressive,SOL-USD,HOLD,50,142.83,142.83,0,142.83,0,False,demo_mode
2025-11-27T00:34:44.711503+00:00,aggressive,AVAX-USD,HOLD,50,14.93,14.93,0,14.93,0,False,demo_mode
2025-11-27T00:34:46.796832+00:00,aggressive,DOGE-USD,HOLD,50,0.1543,0.1543,0,0.1543,0,False,demo_mode
2025-11-27T00:39:47.572895+00:00,conservative,BTC-USD,HOLD,50,90314.97,90314.97,0,90314.97,0,False,demo_mode
